Residential,سكني
Reserved,محجوزة
Maintenance,صيانة
Street,شارع
Garden,حديقة
Sea,بحر
City,مدينة
Internal,داخلية
Open,مفتوح
Closed,مغلق
American,أمريكي
None,بدون
New,جديد
Renewal,تجديد
Transfer,نقل
Expired,منتهٍ
Renewed,مُجدَّد
Individual,فرد
Government,حكومي
Non-profit,غير ربحي
Paper,ورقي
Electronic,إلكتروني
Planned,مخطّط
Invoiced,مُفوتر
Failed,فشل
Posted,مُرحَّل
Settled,مُسوّى
Pending,معلّق
Fee,رسم
Utility,خدمة
Penalty,غرامة
Discount,خصم
Cleaning,تنظيف
Damage,أضرار
Unpaid Rent,إيجار غير مسدد
Unpaid Utilities,خدمات غير مسددة
Key Replacement,استبدال مفاتيح
Early Exit,إخلاء مبكر
Standard,قياسي
Exempt,معفى
Zero-rated,صفري
Generate Due Invoices,توليد الفواتير المستحقة
Post Fee Charges,ترحيل رسوم الأتعاب
Record Deposit,تسجيل التأمين
Refund Deposit,استرداد التأمين
Renew,تجديد
Terminate,إنهاء
Rent,الإيجار
Lifecycle,دورة الحياة
Renew Lease,تجديد العقد
Rent Increase %,نسبة زيادة الإيجار %
Duration in months (blank = same as current),المدة بالأشهر (فارغ = نفس الحالية)
Create Renewal,إنشاء تجديد
Record Security Deposit,تسجيل التأمين
Refund Security Deposit,استرداد التأمين
Received Into (Bank/Cash),مُستلم في (بنك/نقد)
Refunded From (Bank/Cash),مُسترد من (بنك/نقد)
Record,تسجيل
Create Units,إنشاء وحدات
Bulk Create Units,إنشاء وحدات دفعة واحدة
Number of Units,عدد الوحدات
Start Number,رقم البداية
Unit No Prefix,بادئة رقم الوحدة
Create,إنشاء
Generate Head-Lease Schedule,توليد جدول الإيجار الرئيسي
Post Due Head-Lease Bills,ترحيل فواتير الإيجار الرئيسي المستحقة
Head Lease,الإيجار الرئيسي
Post Payout,ترحيل المستحقات
From,من
To,إلى
Total Units,إجمالي الوحدات
Occupancy %,نسبة الإشغال %
Lease,العقد
Tenant,المستأجر
Type,النوع
Start,البداية
End,النهاية
Maintenance Request,طلب صيانة
Maintenance Work Order,أمر عمل صيانة
Maintenance Work Order Item,بند أمر العمل
RE Maintenance Category,تصنيف الصيانة
Subject,الموضوع
Priority,الأولوية
Category,التصنيف
Reported On,تاريخ الإبلاغ
Contact Phone,هاتف التواصل
Resolution Notes,ملاحظات الحل
Resolved On,تاريخ الحل
Assigned To,مُسند إلى
Assigned To (User),مُسند إلى (مستخدم)
Contractor (Supplier),المقاول (مورّد)
Contractor Phone,هاتف المقاول
Work Items,بنود العمل
Total Cost,التكلفة الإجمالية
Scheduled Date,التاريخ المجدول
Item / Work,البند / العمل
Qty,الكمية
Rate,السعر
Default Priority,الأولوية الافتراضية
Details,التفاصيل
Resolution,الحل
Assignment,الإسناد
Work,العمل
Low,منخفضة
Medium,متوسطة
High,عالية
Urgent,عاجلة
Assigned,مُسنَد
In Progress,قيد التنفيذ
On Hold,قيد الانتظار
Resolved,تم الحل
Done,منجز
Rent Collections,مستحقات التحصيل
Collection Notification,تذكير تحصيل
Late Fees & Collections,الغرامات والتحصيل
Enable Automatic Late Fees,تفعيل غرامات التأخير التلقائية
Late Fee Charge Type,نوع مطالبة الغرامة
Grace Days,أيام السماح
Late Fee Type,نوع الغرامة
Late Fee Value,قيمة الغرامة
Late Fee Cap,الحد الأقصى للغرامة
Percentage of Overdue,نسبة من المتأخر
Fixed Amount,مبلغ ثابت
Late Fee Charge,مطالبة الغرامة
Channel,القناة
Outstanding Amount,المبلغ المستحق
Sent On,تاريخ الإرسال
Message,الرسالة
WhatsApp,واتساب
SMS,رسالة نصية
Email,بريد إلكتروني
Outstanding,المستحق
Days Overdue,أيام التأخر
Post Late Fees,ترحيل غرامات التأخير
WhatsApp Dues,تذكير واتساب بالمستحقات
Collections,التحصيل
Real Estate Dashboard,لوحة العقارات
Dashboard,لوحة المعلومات
Real Estate Overview,نظرة عامة على العقارات
"Occupancy, leases and collections at a glance",الإشغال والعقود والتحصيل في لمحة
Rent Scheduled (last 12 months),الإيجار المجدول (آخر 12 شهراً)
Rent Scheduled,الإيجار المجدول
Top Overdue,أعلى المتأخرات
No overdue balances,لا توجد متأخرات
Could not load the dashboard,تعذّر تحميل اللوحة
Overdue,متأخرات
Active Leases,العقود النشطة
Vacant Units,الوحدات الشاغرة
Properties,العقارات
Tenant Portal,بوابة المستأجر
Total Outstanding,إجمالي المستحق
Report an Issue,الإبلاغ عن مشكلة
My Leases,عقودي
My Invoices,فواتيري
Date,التاريخ
No leases found.,لا توجد عقود.
No invoices found.,لا توجد فواتير.
Submit Request,إرسال الطلب
Request submitted:,تم إرسال الطلب:
Reporting an issue requires an active lease.,الإبلاغ عن مشكلة يتطلب عقداً نشطاً.
Your account is not linked to a tenant yet. Please contact the property office.,حسابك غير مرتبط بمستأجر بعد. يرجى التواصل مع مكتب العقار.
Please describe the issue.,يرجى وصف المشكلة.
No active lease found for your account.,لا يوجد عقد نشط مرتبط بحسابك.
New Property,عقار جديد
Create New Property,إنشاء عقار جديد
3 easy steps • Basics → Owner & Operation → Units,3 خطوات سهلة • أساسيات ← المالك والتشغيل ← الوحدات
Owner & Operation & Location,المالك + التشغيل + الموقع
Generate Units,توليد الوحدات
Step 1: Basics,الخطوة 1: الأساسيات
"Property identity: name, code, deed, type.",معلومات تعريف العقار: الاسم، الكود، الصك، النوع.
e.g. Al-Suwaidi Building,مثال: عمارة السويدي
Code (internal reference),كود العقار (مرجع داخلي)
"Buildings, apartments, villas",عمارات سكنية، شقق، فلل
"Offices, shops, warehouses",مكاتب، محلات، مستودعات
Shops below + apartments above,محلات أسفل + شقق فوق
Step 2: Owner + Operation + Location,الخطوة 2: المالك + التشغيل + الموقع
"Choose the owner, operation type and location.",حدّد المالك ونوع التشغيل وموقع العقار.
Operation Type,نوع تشغيل العقار
Investment (Owned),استثمار (ملك)
Owned outright — all income is yours,العقار ملكي، كل الإيراد لي
Property Management,إدارة أملاك
Owned by another — you take a %,العقار لشخص آخر أنا أتقاضى نسبة من الإيراد
Master Lease,استثماري
Rent the whole building then sublet,أستأجر المبنى كاملاً من مالكه وأعيد تأجير وحداته
Your share of income %,نسبتك من الإيراد %
Owner Details,بيانات المالك
Nationality,الجنسية
District,الحي
Postal Code,الرمز البريدي
Property Notes,ملاحظات العقار
Step 3: Building Composition,الخطوة 3: تكوين المبنى
Pick a preset or configure floors — the live preview updates as you go.,اختر قالباً جاهزاً أو اضبط الأدوار — تتحدّث المعاينة أمامك مباشرة.
Quick Preset,قالب جاهز (سريع)
1 unit • 5 rooms,وحدة واحدة • 5 غرف
Residential Building,عمارة سكنية
4 floors × 4 apartments,4 أدوار × 4 شقق
Shops + offices + apartments,محلات + مكاتب + شقق
Office Tower,برج مكاتب
5 floors × 6 offices,5 أدوار × 6 مكاتب
Building Preview,معاينة المبنى
All floors identical,كل الأدوار متشابهة
Add Floor,إضافة دور
Another type on this floor,نوع آخر بنفس الدور
Count,العدد
Living,صالة
Baths,حمامات
Area,المساحة
Rent/mo,إيجار/شهر
units,وحدة
Floors,الأدوار
Expected Monthly Rent,إيجار شهري متوقع
Previous,السابق
Next,التالي
Create Property + Units,إنشاء العقار + الوحدات
Property name is required.,اسم العقار مطلوب.
Owner name is required.,اسم المالك مطلوب.
Creating property and units...,جارٍ إنشاء العقار والوحدات...
Created {0} with {1} unit(s),تم إنشاء {0} مع {1} وحدة
New Lease,عقد جديد
Create New Lease,إنشاء عقد إيجار جديد
Saudi Ejar-style • Residential (exempt) or Commercial (15% VAT + ZATCA),مطابق لمنصة إيجار السعودية • سكني (بدون ضريبة) أو تجاري (مع ضريبة 15% + فاتورة ZATCA)
Lessor,المؤجر
Broker,الوسيط
Review & Publish,المراجعة والنشر
Step 1: Contract Type & Basics,الخطوة 1: نوع العقد والمعلومات الأساسية
Choose the contract type (drives VAT) and the unit(s) and dates.,اختر نوع العقد (يحدّد تطبيق الضريبة) وحدّد الوحدة والتواريخ.
"Individuals — apartments, villas • no VAT",للأفراد — شقق، فلل، استوديوهات • بدون ضريبة
"Companies — offices, shops • 15% VAT + ZATCA",للشركات — مكاتب، محلات، مستودعات • ضريبة 15% + فاتورة ZATCA
Select property,اختر العقار
Select unit,اختر الوحدة
Annual rent,الإيجار السنوي
Add,إضافة
yr,سنة
Tenant Name,اسم المستأجر
Tenant Phone,جوال المستأجر
Step 2: Lessor (Owner),الخطوة 2: المؤجر (المالك)
The lessor may be an individual or a company.,المؤجر قد يكون فرداً أو شركة.
Company Details,بيانات الشركة
Company,شركة
Step 3: Tenant,الخطوة 3: المستأجر
Individual or company. Commercial contracts require a VAT number.,فرد أو شركة. العقود التجارية يلزمها رقم ضريبي.
Guarantor (optional),الضامن (اختياري)
Step 4: Broker (optional),الخطوة 4: الوسيط العقاري (اختياري)
"If a broker mediated the contract, add their details.",لو كان هناك وسيط عقاري، أدخل بياناته.
Step 5: Deed & Business Activity,الخطوة 5: الصكوك والنشاط التجاري
"Title deed info; for commercial contracts, activity details.",معلومات صك الملكية وللعقود التجارية تفاصيل النشاط.
Title Deed (الصك),صك الملكية
Business Activity (النشاط),النشاط التجاري
Step 6: Financial Terms,الخطوة 6: الشروط المالية
"Billing cycle, fees and utilities. VAT is derived from the contract type.",دورة الفوترة والرسوم والمرافق. الضريبة تُحسب من نوع العقد.
Rent Summary,ملخص الإيجار
15% — Commercial,15% — تجاري
Exempt — Residential (0%),معفى — سكني (0%)
Installments,عدد الأقساط
Per Installment,قيمة القسط
VAT,الضريبة
Total incl. VAT,الإجمالي شامل الضريبة
One-time Fees (outside contract value),رسوم لمرة واحدة (خارج قيمة العقد)
Annual Utilities,المرافق السنوية
Obligations (optional),الالتزامات (اختياري)
Step 7: Review & Publish,الخطوة 7: المراجعة والنشر
Review before saving; you can go back to any step.,راجع قبل الحفظ، يمكنك العودة لأي خطوة.
Activate contract now (generates the rent schedule),تفعيل العقد الآن (يولّد جدول الإيجار)
Create Contract,إنشاء العقد
Contract {0} created,تم إنشاء العقد {0}
Creating contract...,جارٍ إنشاء العقد...
Select a unit.,اختر وحدة.
Add at least one unit.,أضف وحدة واحدة على الأقل.
Tenant name is required.,اسم المستأجر مطلوب.
Start and end dates are required.,تاريخ البداية والنهاية مطلوبان.
"A commercial contract requires the tenant VAT number (15 digits, starts & ends with 3).",العقد التجاري يلزمه الرقم الضريبي للمستأجر (15 رقماً يبدأ وينتهي بـ3).
Loading…,جارٍ التحميل…
Land,أرض
Land Contract,عقد أرض
Land Name,اسم الأرض
Land Type,نوع الأرض
Available,متاحة
Leased,مؤجّرة
Under Development,تحت التطوير
Sold,مباعة
Plot Number,رقم القطعة
Plan Number,رقم المخطط
Valuation,التقييم
Purchase Date,تاريخ الشراء
Purchase Value,قيمة الشراء
Current Market Value,القيمة السوقية الحالية
Agricultural,زراعية
Industrial,صناعية
Raw,خام
Party (Customer),الطرف (عميل)
Annual Amount,المبلغ السنوي
Usufruct,انتفاع
Investment,استثمار
Terms,الشروط
Contracts,العقود
Unit Booking,حجز وحدة
Prospective Tenant (Customer),المستأجر المحتمل (عميل)
Booking Date,تاريخ الحجز
Hold Until,محجوزة حتى
Converted,مُحوّل
Proposed Annual Rent,الإيجار السنوي المقترح
Booking Deposit,عربون الحجز
Converted Lease,العقد المُحوَّل
Convert to Lease,تحويل إلى عقد
Open Lease,فتح العقد
Creating draft lease...,جارٍ إنشاء مسودة العقد...
Import Leases,استيراد العقود
Import Lease Contracts,استيراد عقود الإيجار
Upload an Excel (.xlsx). Each row creates a Draft lease you can review then activate.,ارفع ملف Excel (.xlsx). كل صف يُنشئ مسودة عقد تراجعها ثم تعتمدها.
Required columns (first row = header):,الأعمدة المطلوبة (الصف الأول = العناوين):
unit = the unit's ID; contract_type = Residential/Commercial (سكني/تجاري); dates = YYYY-MM-DD; billing_cycle = Monthly/Quarterly/Semi-Annual/Annual. tenant_name + unit are required.,unit = معرّف الوحدة؛ contract_type = سكني/تجاري؛ التواريخ = سنة-شهر-يوم؛ billing_cycle = شهري/ربعي/نصف سنوي/سنوي. الاسم والوحدة مطلوبان.
Download Template,تحميل القالب
Upload & Import,رفع واستيراد
Importing…,جارٍ الاستيراد…
Created {0} draft lease(s).,تم إنشاء {0} مسودة عقد.
{0} row(s) failed:,فشل {0} صف:
Row,الصف
Error,الخطأ
Import failed.,فشل الاستيراد.
Importing leases...,جارٍ استيراد العقود...
The file is empty or has only a header row.,الملف فارغ أو يحوي صف العناوين فقط.
Missing required columns: tenant_name and unit.,أعمدة مطلوبة ناقصة: tenant_name و unit.
